DEPTH,SP,GR,CALI,BitSize,LL8,ILM,ILD,RHOB,NPHI,DT,MudWgt,NPHI_pct,Phixnd_chartbook,RhoMatrix,DEPT,vshgr,vshnd,vshsp,vsh,PHISw,PHISwshc,PHISrhg,PHISrhgshc,PHID,PHIDshc,PHIN,PHINshc,PHIxND,PHIT,CBW,PHIE,Swb,Qv,Mstarapp,Sw_archie,BVW,Sw_dw,CBVWE,Sw_ws,WSCBVWE,matrix
4347.5,-20.313,87.3477,10.1548,10,0.7155,0.7252,0.7217,2.2283,0.413463,50,10,41.3463,0.359500075,2.861592711,4347.5,0.564636,0.45869762808349157,0.6306727272727273,0.45869762808349157,-0.04150943396226415,0.0,-0.06875,0.0,0.27206451612903226,0.27206451612903226,0.413463,0.2666797590132827,0.2693721375711575,0.34276375806451614,0.11008743074003798,0.23267632732447818,0.32117581905878434,1.1796390225001758,2.6423516381175687,0.594822487613167,0.20388359123557323,0.5566139250086316,0.08069964998696137,0.5315116187870175,0.07209548917035462,0.6572362419354838
4348.0,-21.563000000000002,86.036,10.149,10,0.713,0.721,0.72,2.22,0.42238000000000003,50,10,42.238,0.36400900700000005,2.8610312280000003,4348.0,0.5471466666666667,0.468859582542695,0.6079454545454545,0.468859582542695,-0.04150943396226415,0.0,-0.06875,0.0,0.27741935483870955,0.27741935483870955,0.42238000000000003,0.2723449335863376,0.27488214421252355,0.3498996774193548,0.1125262998102468,0.23737337760910798,0.3215958946866476,1.181181908276823,2.6431917893732955,0.5833790609280519,0.20412414523193148,0.5475724867962567,0.07906913668347733,0.5120901345423554,0.06665387307575736,0.6501003225806452
4348.5,-20.9275,83.9713,10.1673,10,0.748,0.7153,0.7167,2.2225,0.40939000000000003,50,10,40.939,0.363111387,2.862474596,4348.5,0.5196173333333334,0.4354924098671732,0.6195,0.4354924098671732,-0.04150943396226415,0.0,-0.06875,0.0,0.2758064516129031,0.2758064516129031,0.40939000000000003,0.2700324288425046,0.27291944022770387,0.3425982258064516,0.10451817836812156,0.23808004743833006,0.3050750718924281,1.1205029713973789,2.610150143784856,0.5971821465959858,0.20459354390707302,0.5517889424383993,0.08452373433089226,0.5330937523533933,0.07811879537665485,0.6574017741935483
4349.0,-20.875,85.788,10.179,10,0.758,0.7120000000000001,0.715,2.23,0.39504,50,10,39.504,0.35674766,2.856697845,4349.0,0.54384,0.4078026565464896,0.6204545454545455,0.4078026565464896,-0.04150943396226415,0.0,-0.06875,0.0,0.27096774193548384,0.27096774193548384,0.39504,0.2645431499051233,0.26775544592030354,0.3330038709677419,0.09787263757115751,0.23513123339658443,0.2939084079915648,1.0794891972994247,2.5878168159831296,0.6151178423373889,0.20483662259967567,0.5615056837094053,0.089110928674463,0.5612595684988384,0.08902897135664019,0.6669961290322581
4349.5,-21.2505,82.9335,10.259,10,0.7115,0.7073,0.7097,2.2367,0.40964799999999996,50,10,40.9648,0.355480041,2.8636381689999997,4349.5,0.5057799999999999,0.463735104364326,0.6136272727272727,0.463735104364326,-0.04150943396226415,0.0,-0.06875,0.0,0.2666451612903226,0.2666451612903226,0.40964799999999996,0.2612527666034156,0.2639489639468691,0.3381465806451613,0.11129642504743824,0.22685015559772304,0.3291366271842585,1.2088780852134462,2.658273254368517,0.6080205033464978,0.2056000541687681,0.5714278908474544,0.0819299623279049,0.5528587192787152,0.07565086045652243,0.6618534193548388
4350.0,-20.313,85.01100000000001,10.149,10,0.664,0.7040000000000001,0.708,2.235,0.42749,50,10,42.748999999999995,0.358496896,2.8692821630000003,4350.0,0.5334800000000002,0.5129212523719161,0.6306727272727273,0.5129212523719161,-0.04150943396226415,0.0,-0.06875,0.0,0.26774193548387104,0.26774193548387104,0.42749,0.2633551992409868,0.26554856736242893,0.3476159677419355,0.12310110056925987,0.2245148671726756,0.3541295912524023,1.3006741481584307,2.7082591825048046,0.5921671082467992,0.20584674239815456,0.5694574297964892,0.07485139497728201,0.5284550298959398,0.060598306056110704,0.6523840322580645
4350.5,-21.0838,85.7358,10.0272,10,0.6609999999999999,0.7020000000000001,0.7087,2.2278,0.44070299999999996,50,10,44.0703,0.359695107,2.861348403,4350.5,0.543144,0.5378475332068307,0.6166581818181819,0.5378475332068307,-0.04150943396226415,0.0,-0.06875,0.0,0.27238709677419365,0.27238709677419365,0.44070299999999996,0.2685917893738141,0.2704894430740039,0.3565450483870968,0.12908340796963935,0.22746164041745742,0.36203954746693046,1.3297264380981582,2.724079094933861,0.5770520676964475,0.2057450573987041,0.5604156081005467,0.07073000213745434,0.5030907821296957,0.05029111928789537,0.6434549516129032
4351.0,-21.188000000000002,87.855,10.027999999999999,10,0.6409999999999999,0.7020000000000001,0.7070000000000001,2.227,0.42682,50,10,42.681999999999995,0.35900053299999996,2.8581917910000003,4351.0,0.5714,0.4954667931688802,0.6147636363636363,0.4954667931688802,-0.04150943396226415,0.0,-0.06875,0.0,0.27290322580645165,0.27290322580645165,0.42682,0.2682706261859583,0.270586925996205,0.3498616129032258,0.11891203036053125,0.23094958254269457,0.3398830451096764,1.2483483478691726,2.6797660902193527,0.5887821383410505,0.20599226856861017,0.560514724810077,0.07719055531753008,0.5206670343863633,0.06324937807542116,0.6501383870967742
4351.5,-21.3542,91.1958,10.0727,10,0.6393,0.7043,0.705,2.2343,0.413188,50,10,41.3188,0.35875887100000003,2.86891336,4351.5,0.615944,0.4695017077798866,0.6117418181818182,0.4695017077798866,-0.04150943396226415,0.0,-0.06875,0.0,0.26819354838709664,0.26819354838709664,0.413188,0.26294745351043625,0.26557050094876644,0.3406907741935483,0.11268040986717277,0.22801036432637556,0.3307410073956344,1.214770775110875,2.661482014791269,0.6054882165214355,0.20628424925175867,0.5702944380072665,0.08161364373579742,0.5478669716475058,0.07397281285849074,0.6593092258064517
4352.0,-21.25,91.55,10.161,10,0.6609999999999999,0.706,0.705,2.251,0.40848,50,10,40.848,0.35376248200000004,2.8810788869999997,4352.0,0.6206666666666666,0.4879772296015179,0.6136363636363636,0.4879772296015179,-0.04150943396226415,0.0,-0.06875,0.0,0.2574193548387097,0.2574193548387097,0.40848,0.25232728652751424,0.25487332068311197,0.3329496774193549,0.11711453510436429,0.2158351423149906,0.3517484564397305,1.291928534771057,2.7034969128794613,0.6195658480603984,0.20628424925175867,0.5911120485986513,0.0796960307952507,0.57613451827815,0.07470926690650118,0.6670503225806451
4352.5,-21.0422,93.476,10.1888,10,0.6675,0.7070000000000001,0.7028,2.2585,0.446483,50,10,44.6483,0.35313288,2.89093969,4352.5,0.6463466666666666,0.6142668880455412,0.6174145454545454,0.6142668880455412,-0.04150943396226415,0.0,-0.06875,0.0,0.2525806451612902,0.2525806451612902,0.446483,0.24991759582542683,0.2512491204933585,0.3495318225806451,0.14742405313092988,0.2021077694497152,0.42177576863381516,1.5491301832233808,2.84355153726763,0.5910960121849412,0.2066068664591537,0.598649920044805,0.061823144510088274,0.537302438318934,0.040380247411711756,0.6504681774193549
4353.0,-20.313,90.081,10.248,10,0.665,0.7070000000000001,0.7020000000000001,2.261,0.4567,50,10,45.67,0.352593537,2.8933092510000002,4353.0,0.6010800000000001,0.6491555977229603,0.6306727272727273,0.6491555977229603,-0.04150943396226415,0.0,-0.06875,0.0,0.25096774193548377,0.25096774193548377,0.4567,0.2489702087286527,0.24996897533206824,0.3538338709677419,0.15579734345351046,0.19803652751423143,0.4403121245216066,1.6172119236366824,2.8806242490432132,0.5842418564488624,0.20672455764868075,0.6011508825395302,0.05691020035112582,0.5278028230471019,0.03095717253294769,0.6461661290322581
4353.5,-21.7605,90.0705,10.2358,10,0.6513,0.7057,0.7048,2.2622,0.42564700000000005,50,10,42.5647,0.349586677,2.8868637660000003,4353.5,0.6009399999999999,0.5601458254269452,0.6043545454545455,0.5601458254269452,-0.04150943396226415,0.0,-0.06875,0.0,0.25019354838709673,0.25019354838709673,0.42564700000000005,0.24640033586337756,0.24829694212523715,0.3379202741935484,0.13443499810246684,0.20348527609108158,0.39783051911667,1.4611822461193178,2.79566103823334,0.6105390277288613,0.20631351565599926,0.6041880059331148,0.06973237852690459,0.569609367621674,0.05804755558746297,0.6620797258064516
4354.0,-21.813000000000002,89.413,10.36,10,0.648,0.7040000000000001,0.7090000000000001,2.263,0.40763,50,10,40.763000000000005,0.352228718,2.8953867860000004,4354.0,0.5921733333333333,0.5087030360531308,0.6033999999999999,0.5087030360531308,-0.04150943396226415,0.0,-0.06875,0.0,0.24967741935483875,0.24967741935483875,0.40763,0.24484502846299813,0.24726122390891844,0.32865370967741936,0.12208872865275139,0.20656498102466797,0.3714813649071057,1.3644050646784327,2.742962729814211,0.6258913809966071,0.20570152421965798,0.6049615546833477,0.0767341305061498,0.5930494102824273,0.07281916005857422,0.6713462903225806
4354.5,-21.7192,90.8432,10.4017,10,0.6452,0.7047,0.7138,2.2628,0.39479000000000003,50,10,39.479,0.35234695200000005,2.89540574,4354.5,0.6112426666666666,0.4705512333965844,0.6051054545454545,0.4705512333965844,-0.04150943396226415,0.0,-0.06875,0.0,0.24980645161290324,0.24980645161290324,0.39479000000000003,0.24421360531309302,0.24701002846299813,0.3222982258064516,0.11293229601518025,0.2093659297912714,0.3503968901243626,1.2869643990158275,2.700793780248725,0.6360839549395723,0.20500873014097507,0.6036730613594239,0.08163046062811129,0.607587643151146,0.08289212339435754,0.6777017741935483
4355.0,-21.25,90.339,10.385,10,0.621,0.708,0.718,2.262,0.42153999999999997,50,10,42.153999999999996,0.349445225,2.886167815,4355.0,0.60452,0.5476793168880455,0.6136363636363636,0.5476793168880455,-0.04150943396226415,0.0,-0.06875,0.0,0.2503225806451613,0.2503225806451613,0.42153999999999997,0.2462826185958254,0.24830259962049334,0.3359312903225806,0.1314430360531309,0.20448825426944972,0.3912795260212638,1.4371212594792995,2.7825590520425276,0.6084822964852559,0.20440824299673907,0.5989463011849766,0.06976176773787529,0.5671756938533961,0.059089026622645396,0.6640687096774194
4355.5,-21.5938,87.6858,10.2723,10,0.6188,0.7182,0.7247,2.241,0.42252700000000004,50,10,42.2527,0.35814126700000004,2.877649724,4355.5,0.569144,0.5099370967741939,0.6073854545454546,0.5099370967741939,-0.04150943396226415,0.0,-0.06875,0.0,0.2638709677419354,0.2638709677419354,0.42252700000000004,0.259347129032258,0.2616090483870967,0.3431989838709677,0.12238490322580652,0.22081408064516117,0.35660042417788596,1.3097492116097218,2.713200848355772,0.592837276373925,0.2034611508523631,0.5703210404751782,0.07334869834550768,0.5331858970228951,0.06060395484678151,0.6568010161290323
4356.0,-23.313000000000002,85.365,10.219,10,0.628,0.7290000000000001,0.728,2.201,0.45196000000000003,50,10,45.196000000000005,0.368645368,2.843869362,4356.0,0.5381999999999999,0.5190853889943078,0.5761272727272727,0.5190853889943078,-0.04150943396226415,0.0,-0.06875,0.0,0.28967741935483865,0.28967741935483865,0.45196000000000003,0.28585267552182153,0.2877650474383301,0.37081870967741937,0.12458049335863386,0.2462382163187855,0.33596064628726063,1.2339418625793088,2.6719212925745213,0.5474359314606314,0.20299948573528753,0.5240813960908954,0.06975869370573251,0.4546238925019542,0.0440025518474666,0.6291812903225806
4356.5,-25.5838,78.7345,10.2363,10,0.8307,0.7440000000000001,0.7288,2.1519999999999997,0.403823,50,10,40.3823,0.38127281399999996,2.80026471,4356.5,0.44979333333333327,0.28266726755218163,0.53484,0.28266726755218163,-0.04150943396226415,0.0,-0.06875,0.0,0.3212903225806453,0.3212903225806453,0.403823,0.31336947438330187,0.31732989848197357,0.36255666129032266,0.06784014421252359,0.29471651707779906,0.18711597787524747,0.6872538221643694,2.3742319557504947,0.5596036731947276,0.20288803939928127,0.4719984271012692,0.10328602965159632,0.4839997916673813,0.10763720431961389,0.6374433387096774
4357.0,-29.438000000000002,73.192,10.288,10,0.9890000000000001,0.7490000000000001,0.728,2.137,0.37289,50,10,37.289,0.364315027,2.7313111739999996,4357.0,0.37589333333333325,0.16265559772296026,0.4647636363636363,0.16265559772296026,-0.04150943396226415,0.0,-0.06875,0.0,0.33096774193548384,0.33096774193548384,0.37289,0.3208402087286527,0.3259039753320683,0.35192887096774195,0.03903734345351046,0.3128915275142315,0.11092395842990854,0.4074099671562077,2.221847916859817,0.5768196430633127,0.20299948573528753,0.454514961726079,0.12091959386469497,0.5250834393378234,0.14575467851650856,0.648071129032258
4357.5,-28.3442,70.3783,10.3143,10,0.8792,0.743,0.7268,2.1925,0.346317,50,10,34.6317,0.33556024700000003,2.7442423789999997,4357.5,0.33837733333333325,0.19191907020872848,0.4846509090909091,0.19191907020872848,-0.04150943396226415,0.0,-0.06875,0.0,0.2951612903225807,0.2951612903225807,0.346317,0.28490289753320686,0.29003209392789375,0.3207391451612903,0.046060576850094834,0.27467856831119547,0.14360759372521348,0.5274529134293489,2.287215187450427,0.6334337519731756,0.20316700012418515,0.5107007793422023,0.11774115454932786,0.5893443722340814,0.14296523330588173,0.6792608548387098
4358.0,-27.875,74.475,10.431,10,0.73,0.733,0.726,2.24,0.38105,50,10,38.105,0.34949395299999997,2.852481787,4358.0,0.3929999999999999,0.38601043643263816,0.49318181818181817,0.38601043643263816,-0.04150943396226415,0.0,-0.06875,0.0,0.2645161290322579,0.2645161290322579,0.38105,0.2575266603415558,0.2610213946869069,0.3227830645161289,0.09264250474383315,0.23014055977229578,0.2870116648861668,1.0541583136758432,2.5740233297723334,0.6297694315225696,0.20327890704543541,0.5697029800988423,0.09124796903644239,0.5862782908316638,0.09659819863008959,0.6772169354838711
4358.5,-22.1667,83.8747,10.456,10,0.6163,0.7162,0.7240000000000001,2.2777,0.398448,50,10,39.8448,0.34196954700000004,2.889734797,4358.5,0.5183293333333334,0.5101487666034155,0.5969690909090909,0.5101487666034155,-0.04150943396226415,0.0,-0.06875,0.0,0.24019354838709686,0.24019354838709686,0.398448,0.23520039468690707,0.23769697153700198,0.31932077419354843,0.1224357039848197,0.19688507020872872,0.38342542634137644,1.408274123676384,2.7668508526827527,0.6374764870674399,0.20355948538055846,0.619271730167996,0.075310624328603,0.6218772708805714,0.07614262760613538,0.6806792258064516
