DEPTH	SP	GR	CALI	BitSize	LL8	ILM	ILD	RHOB	NPHI	DT	MudWgt	NPHI_pct	 Phixnd_chartbook 	 RhoMatrix 
4918	-49.313	46.969	10.033	10	0.156	0.186	0.181	2.058	0.37402	40	10	37.402	0.388639356	2.666996518
4918.5	-48.8755	47.7807	10.0617	10	0.1638	0.1862	0.181	2.0693	0.40256	40	10	40.256	0.403936321	2.726168537
4919	-49.188	46.494	10.08	10	0.173	0.187	0.181	2.081	0.41106	40	10	41.106	0.396655633	2.725937116
4919.5	-47.8233	48.2188	10.0282	10	0.1685	0.1872	0.181	2.0857	0.428553	40	10	42.8553	0.396069388	2.732141144
4920	-47.875	49.058	10.004	10	0.186	0.188	0.181	2.084	0.43627	40	10	43.627	0.396330795	2.7300318
4920.5	-48.2608	45.9138	10.0127	10	0.192	0.1878	0.181	2.0805	0.424297	40	10	42.4297	0.396212626	2.723916038
4921	-48.625	40.573	9.996	10	0.202	0.187	0.181	2.078	0.43588	40	10	43.588	0.396961092	2.721785902
4921.5	-49.8125	38.6622	10.0243	10	0.1717	0.1858	0.1808	2.084	0.396577	40	10	39.6577	0.394268378	2.724481806
4922	-50.125	37.688	10.041	10	0.16	0.185	0.18	2.089	0.38831	40	10	38.831	0.393759526	2.731365839
4922.5	-49.9272	39.3073	10.0447	10	0.1587	0.1838	0.1798	2.0848	0.364808	40	10	36.4808	0.379473949	2.687040541
4923	-50.188	39.224	10.053	10	0.162	0.183	0.179	2.074	0.37475	40	10	37.475	0.387019943	2.688958709
4923.5	-49.7083	39.5962	10.018	10	0.1615	0.1832	0.179	2.068	0.396315	40	10	39.6315	0.404206586	2.724724236
4924	-49.5	38.707	10.018	10	0.164	0.184	0.179	2.073	0.40694	40	10	40.694	0.403306112	2.730651864
4924.5	-49.8647	39.675	10.0257	10	0.161	0.1842	0.179	2.0792	0.39801	40	10	39.801	0.395225944	2.719117073
4925	-49.188	41.92	10.039	10	0.156	0.185	0.179	2.085	0.37271	40	10	37.271	0.381630757	2.692899405
4925.5	-48.99	45.9652	10.021	10	0.1538	0.1862	0.18	2.0838	0.355652	40	10	35.5652	0.370426917	2.662646223
4926	-47.375	47.371	10.011	10	0.153	0.187	0.18	2.083	0.35856	40	10	35.856	0.370671652	2.661982712
4926.5	-48.4275	44.4553	9.9852	10	0.1592	0.188	0.181	2.0758	0.360072	40	10	36.0072	0.380160191	2.674277719
4927	-49	40.257	10.006	10	0.16	0.188	0.181	2.085	0.36013	40	10	36.013	0.37018774	2.663958123
4927.5	-49.5525	37.767	10.0952	10	0.1555	0.188	0.181	2.085	0.355128	40	10	35.5128	0.370087232	2.66370858
4928	-49.5	38.012	10.106	10	0.153	0.188	0.181	2.08	0.36882	40	10	36.882	0.381045741	2.683315705
4928.5	-46.3755	39.6962	10.0248	10	0.1553	0.1867	0.18	2.0728	0.358047	40	10	35.8047	0.383491423	2.677918032
4929	-46.063	36.837	9.994	10	0.157	0.185	0.18	2.077	0.37198	40	10	37.198	0.381939661	2.680751811
4929.5	-46.3338	37.0937	10.0113	10	0.1627	0.1837	0.179	2.0987	0.351197	40	10	35.1197	0.367429475	2.678796293
4930	-46.438	37.897	10.088	10	0.161	0.182	0.179	2.112	0.36883	40	10	36.883	0.368102976	2.701526772
4930.5	-47.2192	37.0678	10.09	10	0.1603	0.181	0.179	2.1265	0.361698	40	10	36.1698	0.361531166	2.707752714
4931	-46.125	37.462	10.09	10	0.157	0.181	0.179	2.129	0.38434	40	10	38.434	0.377548406	2.753140596
4931.5	-45.5317	37.9373	10.0475	10	0.152	0.181	0.179	2.1173	0.385707	40	10	38.5707	0.38332223	2.749645973
4932	-45.375	42.264	10.02	10	0.152	0.181	0.179	2.109	0.39899	40	10	39.899	0.391897866	2.759260745
4932.5	-45.2917	42.9502	10.0518	10	0.157	0.182	0.179	2.098	0.39851	40	10	39.851	0.392329476	2.742337353
4933	-46.125	44.356	10.056	10	0.157	0.182	0.179	2.093	0.40316	40	10	40.316	0.392894469	2.735629967
4933.5	-44.8647	43.0203	10.0435	10	0.1528	0.183	0.1792	2.074	0.404052	40	10	40.4052	0.402919199	2.731270002
4934	-44.813	44.127	10.046	10	0.147	0.183	0.18	2.069	0.40766	40	10	40.766	0.404131534	2.726197819
4934.5	-44.5422	41.7527	10.0778	10	0.1497	0.1832	0.1802	2.0607	0.413333	40	10	41.3333	0.401493831	2.705163072
4935	-44.438	42.401	10.112	10	0.158	0.184	0.181	2.064	0.40055	40	10	40.055	0.404859108	2.719784513
4935.5	-45.073	41.6503	10.1022	10	0.1628	0.1852	0.181	2.0663	0.397628	40	10	39.7628	0.404499381	2.722668338
4936	-44.813	43.737	10.098	10	0.162	0.186	0.181	2.073	0.38507	40	10	38.507	0.396621435	2.712586286
4936.5	-44.9483	43.9538	10.0615	10	0.158	0.186	0.182	2.0805	0.38592	40	10	38.592	0.391442638	2.711187477
4937	-45	43.088	10.004	10	0.153	0.186	0.182	2.088	0.37402	40	10	37.402	0.381863904	2.698353513
4937.5	-45.3025	39.3678	10.0358	10	0.1518	0.186	0.182	2.0885	0.368495	40	10	36.8495	0.380175005	2.694804999
4938	-46.5	38.287	10.06	10	0.156	0.186	0.182	2.081	0.36397	40	10	36.397	0.379837209	2.681842727
4938.5	-47.1775	39.2515	10.0527	10	0.1678	0.1858	0.182	2.0672	0.373657	40	10	37.3657	0.38751878	2.679150459
4939	-47.75	38.819	10.036	10	0.167	0.185	0.182	2.068	0.38019	40	10	38.019	0.396264356	2.703350753
4939.5	-47.0525	37.9955	10.0288	10	0.1622	0.1848	0.1818	2.0765	0.367883	40	10	36.7883	0.381225792	2.678120077
4940	-47	35.693	10.043	10	0.158	0.184	0.181	2.089	0.36265	40	10	36.265	0.378139156	2.690387962
4940.5	-48.0625	38.8937	10.0468	10	0.159	0.1838	0.1808	2.0967	0.367175	40	10	36.7175	0.379116925	2.705294201
4941	-48.375	38.027	10.016	10	0.159	0.183	0.18	2.105	0.3779	40	10	37.79	0.38127627	2.724311386
4941.5	-48.9688	41.3815	10.0348	10	0.1587	0.1828	0.18	2.1125	0.372935	40	10	37.2935	0.369659803	2.706275477
4942	-49.438	42.459	10.004	10	0.157	0.182	0.18	2.11	0.36816	40	10	36.816	0.368105717	2.698368632
4942.5	-48.5108	44.2522	9.9843	10	0.1595	0.183	0.18	2.11	0.381095	40	10	38.1095	0.382309926	2.73512422
4943	-48.25	43.603	9.986	10	0.162	0.183	0.18	2.105	0.38182	40	10	38.182	0.382681053	2.728007701
4943.5	-45.688	41.7275	9.9723	10	0.1582	0.1842	0.1802	2.0952	0.404907	40	10	40.4907	0.392786036	2.738960991
4944	-45.063	44.51	9.964	10	0.159	0.185	0.181	2.091	0.43224	40	10	43.224	0.395819759	2.740239008
4944.5	-45.2088	47.004	9.961	10	0.16	0.1872	0.182	2.0825	0.432642	40	10	43.2642	0.396429992	2.727814481
4945	-44.688	50.224	9.966	10	0.16	0.188	0.182	2.085	0.43435	40	10	43.435	0.396245886	2.731458862
4945.5	-45.0317	48.6407	9.9918	10	0.1632	0.1893	0.1832	2.086	0.41797	40	10	41.797	0.396149261	2.732853844
4946	-44.875	47.964	9.981	10	0.179	0.191	0.184	2.086	0.45312	40	10	45.312	0.393906291	2.726811144
4946.5	-45.0838	48.3462	9.9802	10	0.189	0.1923	0.1852	2.0707	0.430717	40	10	43.0717	0.400714512	2.719762233
4947	-45.188	48.962	9.976	10	0.199	0.194	0.186	2.064	0.4145	40	10	41.45	0.401168613	2.709802059
4947.5	-43.438	50.9165	9.9832	10	0.203	0.1952	0.1872	2.0673	0.395925	40	10	39.5925	0.404340933	2.723915515
4948	-42.813	50.484	10.004	10	0.208	0.196	0.188	2.074	0.4025	40	10	40.25	0.402861793	2.731113181
4948.5	-41.9583	50.6172	9.9973	10	0.205	0.1982	0.1882	2.082	0.404612	40	10	40.4612	0.394661342	2.722232426
4949	-41.75	51.188	9.979	10	0.21	0.199	0.189	2.082	0.39222	40	10	39.222	0.394688368	2.722304857
4949.5	-43.0005	49.5997	9.9203	10	0.2025	0.1992	0.189	2.0757	0.383523	40	10	38.3523	0.391307682	2.702944494
4950	-43.938	49.448	9.912	10	0.205	0.2	0.189	2.069	0.37544	40	10	37.544	0.395435408	2.702806406
4950.5	-45.3125	48.301	9.9058	10	0.2112	0.1998	0.1888	2.0728	0.37863	40	10	37.863	0.395802603	2.710069828
4951	-45	47.761	9.91	10	0.212	0.199	0.188	2.077	0.38028	40	10	38.028	0.390045972	2.701760059
4951.5	-45.0522	47.6867	9.9053	10	0.1982	0.1977	0.1878	2.0817	0.384023	40	10	38.4023	0.390769753	2.711377643
4952	-44.688	45.37	9.882	10	0.174	0.196	0.187	2.075	0.38669	40	10	38.669	0.39236897	2.704592182
4952.5	-46.3542	45.6942	9.8645	10	0.1607	0.1938	0.1868	2.0775	0.400305	40	10	40.0305	0.395616452	2.717350444
4953	-48.125	45.37	9.877	10	0.169	0.193	0.186	2.08	0.40903	40	10	40.903	0.395021516	2.719892319
4953.5	-48.3755	44.5375	9.8995	10	0.1755	0.1928	0.1858	2.0955	0.398917	40	10	39.8917	0.392512375	2.738716508
4954	-48.063	42.05	9.912	10	0.188	0.192	0.185	2.103	0.3951	40	10	39.51	0.392281538	2.750435296
4954.5	-47.865	40.333	9.897	10	0.1802	0.1918	0.184	2.0975	0.396987	40	10	39.6987	0.392473242	2.74190299
4955	-46.875	42.128	9.902	10	0.166	0.191	0.184	2.09	0.39137	40	10	39.137	0.393548405	2.732446856
4955.5	-46.1047	41.7743	9.9	10	0.1652	0.1898	0.184	2.0728	0.393065	40	10	39.3065	0.403348419	2.730432285
4956	-45.688	40.826	9.9	10	0.161	0.189	0.184	2.067	0.38109	40	10	38.109	0.396471437	2.702243969
4956.5	-45.2188	39.7368	9.9295	10	0.1558	0.1882	0.1852	2.0637	0.380785	40	10	38.0785	0.396589819	2.697089394
4957	-45.063	41.821	9.942	10	0.155	0.189	0.186	2.067	0.37206	40	10	37.206	0.387021988	2.677544351
4957.5	-45.8338	44.2135	9.8937	10	0.1693	0.1905	0.1873	2.0835	0.3875	40	10	38.75	0.391507801	2.716290237
4958	-47.188	44.646	9.902	10	0.161	0.193	0.189	2.091	0.3908	40	10	39.08	0.393453497	2.733840101
4958.5	-47.3542	41.8488	9.9148	10	0.1735	0.1955	0.1927	2.105	0.391737	40	10	39.1737	0.392195959	2.75349345
4959	-47.25	43.438	9.929	10	0.176	0.198	0.196	2.1	0.39137	40	10	39.137	0.392587298	2.746327113
4959.5	-47.5422	44.3302	9.8603	10	0.1988	0.2007	0.2008	2.1012	0.397428	40	10	39.7428	0.392281862	2.747474277
4960	-46.813	47.331	9.862	10	0.193	0.204	0.205	2.097	0.39217	40	10	39.217	0.39279724	2.741955646
4960.5	-46.6983	45.878	9.8858	10	0.1847	0.209	0.2135	2.0957	0.390802	40	10	39.0802	0.392970846	2.740283657
4961	-46.125	46.203	9.905	10	0.168	0.214	0.221	2.089	0.39511	40	10	39.511	0.393505519	2.730682605
4961.5	-45.4067	47.5548	9.9395	10	0.1973	0.2252	0.2352	2.0862	0.407702	40	10	40.7702	0.394022545	2.727453284
4962	-45.25	50.259	9.952	10	0.229	0.236	0.246	2.092	0.40216	40	10	40.216	0.392963607	2.73416891
4962.5	-40.615	54.0802	9.951	10	0.2622	0.2578	0.2615	2.1367	0.395265	40	10	39.5265	0.382355104	2.778472544
4963	-37.125	56.676	9.961	10	0.293	0.277	0.274	2.185	0.37574	40	10	37.574	0.36100472	2.797978115
4963.5	-29.4067	58.997	9.969	10	0.339	0.3038	0.2992	2.224	0.364747	40	10	36.4747	0.337393273	2.7963305
4964	-28	58.922	9.969	10	0.364	0.323	0.32	2.214	0.35788	40	10	35.788	0.333494915	2.771405103
